City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,papao,-17.75,-149.55,26.82,81,20,11.0,PF,1689791413
112,west island,-12.1568,96.8225,24.99,83,40,6.17,CC,1689791057
113,nema,57.5067,50.5011,15.09,98,100,2.54,RU,1689791414
114,portland,45.5234,-122.6762,29.17,48,20,4.63,US,1689790873
115,ichnya,50.8626,32.3942,16.72,59,62,1.8,UA,1689791415
116,hithadhoo,-0.6,73.0833,28.78,72,98,6.24,MV,1689791124
117,bangassou,4.7413,22.8184,23.23,80,100,1.53,CF,1689791415
118,coquimbo,-29.9533,-71.3436,16.85,82,0,5.66,CL,1689791240
119,kralendijk,12.15,-68.2667,30.99,70,75,8.75,BQ,1689791096
120,tromso,69.6496,18.957,11.01,82,75,4.63,NO,1689791417
121,qeshm,26.9581,56.2719,33.94,70,100,2.51,IR,1689791417
122,mahibadhoo,3.7833,72.9667,28.31,75,27,4.36,MV,1689791417
123,pacific grove,36.6177,-121.9166,20.21,91,100,3.58,US,1689791418
124,happy valley-goose bay,53.3168,-60.3315,25.17,65,75,3.6,CA,1689791056
125,hawaiian paradise park,19.5933,-154.9731,24.94,99,100,5.14,US,1689791042
126,crane,31.3974,-102.3501,37.09,18,3,8.74,US,1689791167
127,macheng,31.1783,115.0319,24.5,95,100,0.38,CN,1689791420
128,minas de marcona,-15.2119,-75.1103,18.33,57,4,5.54,PE,1689791083
129,hasaki,35.7333,140.8333,26.22,92,100,5.58,JP,1689791421
130,independence,39.0911,-94.4155,34.36,73,20,4.12,US,1689791251
131,mariental,-24.6333,17.9667,12.68,46,0,5.29,NA,1689791422
132,saipan,15.1355,145.701,28.39,100,20,3.6,MP,1689791001
133,vorgashor,67.5833,63.95,18.25,73,51,3.74,RU,1689791007
134,kenai,60.5544,-151.2583,17.05,81,40,2.06,US,1689791423
135,revda,56.801,59.9303,14.88,95,88,1.62,RU,1689791252
136,ilulissat,69.2167,-51.1,11.01,76,75,1.54,GL,1689790918
137,alo,7.4178,6.7371,24.91,93,35,2.15,NG,1689791425
138,nelson bay,-32.7167,152.15,8.89,88,0,4.02,AU,1689791430
139,vilyuchinsk,52.9306,158.4028,11.15,97,82,1.09,RU,1689791045
140,nadi,-17.8,177.4167,22.0,83,75,1.54,FJ,1689791431
141,impfondo,1.6381,18.0667,26.2,72,74,1.1,CG,1689791432
142,rio preto da eva,-2.6994,-59.6997,33.18,44,60,1.17,BR,1689791145
143,akureyri,65.6835,-18.0878,9.96,71,20,5.66,IS,1689791084
144,vadso,70.0744,29.7487,11.09,82,75,8.75,NO,1689791052
145,levuka,50.1834,-105.4011,19.84,68,75,9.77,CA,1689791434
146,vila franca do campo,37.7167,-25.4333,23.23,71,68,1.74,PT,1689791130
147,hamilton,39.1834,-84.5333,29.58,74,75,3.09,US,1689790742
148,olonkinbyen,70.9221,-8.7187,4.78,91,88,4.93,SJ,1689790996
149,goundi,9.3627,17.366,24.11,80,9,2.07,TD,1689791435
150,quellon,-43.1167,-73.6167,13.14,88,100,4.12,CL,1689791183
151,fort mcmurray,56.7268,-111.381,23.77,56,0,3.09,CA,1689791436
152,chinsali,-10.5414,32.0816,15.66,49,88,1.91,ZM,1689791436
153,juneau,58.3019,-134.4197,17.0,91,75,0.0,US,1689791354
154,al artawiyah,26.5053,45.3444,35.43,9,7,3.88,SA,1689791437
155,salinas,36.6777,-121.6555,20.44,78,100,3.6,US,1689791406
156,kapuskasing,49.4169,-82.4331,19.05,63,100,4.12,CA,1689791166
157,puqi,29.7167,113.8833,24.97,93,100,0.91,CN,1689791438
